,plant_name,Alloscirtetica rufitarsis,Alloscirtetica sp1 M_PL_002,Andinus venustus,Anthidium funereum,Anthidium sp1 M_PL_002,Ateloglutus sp1 M_PL_002,Auca coctei,Bombus dahlbomii,Caenohalictus sp1 M_PL_002,Centris cana,Centris cineraria,Centris nigerrima,Chilicola sp1 M_PL_002,Coleoptera sp8 M_PL_002,Colletes fulvipes,Colletes sp1 M_PL_002,Dasybasis sp1 M_PL_002,Diptera sp2 M_PL_002,Etcheverrius chilensis,Faunula leucoglene,Gayella reedi,Habromyia lipoflava,Hymenoptera sp4 M_PL_002,Hypodynerus sp1 M_PL_002,Hypodynerus sp2 M_PL_002,Hypodynerus sp3 M_PL_002,Lepidoptera sp7 M_PL_002,Lyophlaeba lugubris,Megachile semirufa,Megachile sp1 M_PL_002,Megachile sp2 M_PL_002,Megachile sp3 M_PL_002,Megachile sp4 M_PL_002,Megachile sp5 M_PL_002,Phulia nymphula,Prosopochaeta caliginosa,Prosopochaeta sp1 M_PL_002,Pseudolucia chilensis,Scaeva melanostom,Spathipalpus philippii,Tatochila mercedis,Tatochila sp1 M_PL_002,Unidentified sp1 M_PL_002,Unidentified sp10 M_PL_002,Unidentified sp11 M_PL_002,Unidentified sp12 M_PL_002,Unidentified sp13 M_PL_002,Unidentified sp14 M_PL_002,Unidentified sp15 M_PL_002,Unidentified sp16 M_PL_002,Unidentified sp3 M_PL_002,Unidentified sp5 M_PL_002,Unidentified sp6 M_PL_002,Unidentified sp9 M_PL_002,Vibrissomyia sp1 M_PL_002,Villa arenari,Villa flavicura,Villa gayi,Villa hypoxantha,Villa semifuscata,Villa sp1 M_PL_002,Villa verdensis,Yramea lathonoides,Yramea modesta,is_exotic
31,oxalis geminata,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
32,ranunculus peduncularis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
33,sanicula graveolens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False
34,senecio bustillosianus,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,False
35,senecio erucaeformis,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False
36,senecio francisci,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,False
37,senecio sp1 m_pl_002,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,False
38,stenodraba stenophylla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
39,tristagma bivalve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
40,tropaeolum polyph,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
41,viola philippii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
42,werneria pygmaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
