orig_path,species,family
/networks/web_of_life/weighted/M_PL_072_02.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_02.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_02.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_02.csv,NA,NA
/networks/web_of_life/weighted/M_PL_012.csv,NA,NA
/networks/web_of_life/weighted/M_PL_012.csv,NA,NA
/networks/web_of_life/weighted/M_PL_012.csv,NA,NA
/networks/web_of_life/weighted/M_PL_012.csv,NA,NA
/networks/web_of_life/weighted/M_PL_012.csv,NA,NA
/networks/web_of_life/weighted/M_PL_012.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_005.csv,NA,NA
/networks/web_of_life/weighted/M_PL_028.csv,NA,NA
/networks/web_of_life/weighted/M_PL_028.csv,NA,NA
/networks/web_of_life/weighted/M_PL_028.csv,NA,NA
/networks/web_of_life/weighted/M_PL_028.csv,NA,NA
/networks/web_of_life/weighted/M_PL_028.csv,NA,NA
/networks/web_of_life/weighted/M_PL_028.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_09.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_09.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_09.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_09.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_08.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_08.csv,NA,NA
/networks/web_of_life/weighted/M_PL_072_08.csv,NA,NA
/networks/web_of_life/weighted/M_PL_029.csv,NA,NA
/networks/web_of_life/weighted/M_PL_029.csv,NA,NA
/networks/web_of_life/weighted/M_PL_029.csv,NA,NA
/networks/web_of_life/weighted/M_PL_001.csv,NA,NA
/networks/web_of_life/weighted/M_PL_001.csv,NA,NA
/networks/web_of_life/weighted/M_PL_001.csv,NA,NA
/networks/web_of_life/weighted/M_PL_015.csv,NA,NA
/networks/web_of_life/weighted/M_PL_015.csv,NA,NA
/networks/web_of_life/weighted/M_PL_015.csv,NA,NA
/networks/web_of_life/weighted/M_PL_015.csv,NA,NA
/networks/web_of_life/weighted/M_PL_015.csv,NA,NA
/networks/web_of_life/weighted/M_PL_015.csv,NA,NA
/networks/web_of_life/weighted/M_PL_015.csv,NA,NA
/networks/web_of_life/weighted/M_PL_015.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_062.csv,NA,NA
/networks/web_of_life/weighted/M_PL_048.csv,NA,NA
/networks/web_of_life/weighted/M_PL_048.csv,NA,NA
/networks/web_of_life/binary/M_PL_044.csv,NA,NA
/networks/web_of_life/binary/M_PL_044.csv,NA,NA
/networks/web_of_life/binary/M_PL_044.csv,NA,NA
/networks/web_of_life/binary/M_PL_044.csv,NA,NA
/networks/web_of_life/binary/M_PL_044.csv,NA,NA
/networks/web_of_life/binary/M_PL_044.csv,NA,NA
/networks/web_of_life/binary/M_PL_044.csv,NA,NA
/networks/web_of_life/binary/M_PL_044.csv,NA,NA
/networks/web_of_life/binary/M_PL_045.csv,NA,NA
/networks/web_of_life/binary/M_PL_056.csv,NA,NA
/networks/web_of_life/binary/M_PL_057.csv,NA,NA
/networks/web_of_life/binary/M_PL_057.csv,NA,NA
/networks/web_of_life/binary/M_PL_057.csv,NA,NA
/networks/web_of_life/binary/M_PL_057.csv,NA,NA
/networks/web_of_life/binary/M_PL_055.csv,NA,NA
/networks/web_of_life/binary/M_PL_055.csv,NA,NA
/networks/web_of_life/binary/M_PL_055.csv,NA,NA
/networks/web_of_life/binary/M_PL_055.csv,NA,NA
